Row Labels,Average of NO2 Mean,Average of O3 Mean,Average of SO2 Mean,Average of CO Mean
36744,10.791667,0.050042,0.5791665,0.1666665
36745,15.25,0.044708,1,0.2
36746,26.541667,0.038208,1.5333335,0.3166665
36747,25.5,0.044708,2.2375,0.3395835
36748,25.869565,0.049292,3.43882,0.3432065
36749,20.083333,0.039667,3.7375,0.2729165
36750,14.875,0.047667,3.4541665,0.2208335
36751,12.666667,0.048167,4.0791665,0.214583
36752,22.952381,0.041125,3.675,0.3252715
36753,21.125,0.039542,0.39026,0.264583
36754,21.208333,0.044958,0,0.239583
36755,16.380952,0.029792,0.055,0.3136905
36756,24,0.038708,0.616667,0.522538
36757,26.208333,0.03775,0.4875,0.7
36758,21.375,0.033958,0.1645835,0.6895835
36759,27.833333,0.025208,0.5791665,0.7020835
36760,27.458333,0.036292,0.36875,0.6520835
36761,26,0.037458,0.2041665,0.560417
36762,25.142857,0.046375,0.145238,0.5195075
36763,24,0.034292,0.3291665,0.4520835
36764,23.291667,0.040667,0.4416665,0.5770835
36765,14.5,0.03875,0.24375,0.395833
36766,22.608696,0.035625,0.1623375,0.485145
36767,19.166667,0.018125,0,0.4229165
36768,24.25,0.02175,0.7833335,0.58125
36769,28.363636,0.020417,0.6125,0.5897645
36770,28.727273,0.009208,1.6825755,0.860417
36771,24.666667,0.016958,2.1979165,1.175
36772,21.791667,0.01775,1.7770835,0.9479165
36773,26.291667,0.022583,2.1520835,1.0916665
36774,36.208333,0.015667,2.6395835,1.0895835
36775,27.041667,0.0165,0.9484845,0.6458335
36776,35.238095,0.019708,1.7833335,0.80928
36777,29.166667,0.018208,0.9145835,0.60625
36778,26.875,0.021917,0.8625,0.7291665
36779,17.625,0.030625,0.2770835,0.5229165
36780,25.85,0.017292,1.028882,0.6347825
36781,32,0.018458,1.9416665,0.89375
36782,40.541667,0.007,2.7051945,1.3811765
36783,37.666667,0.02275,2.6125,0.7083335
36784,37.190476,0.022625,2.4020835,0.7666665
36785,34.708333,0.0325,1.3104165,0.66875
36786,24.375,0.029208,0.6979165,0.4875
36787,16.125,0.024583,0.2833335,0.3083335
36788,28.916667,0.022958,1.5208335,0.510417
36789,26.3,0.013,0.8901515,0.628088
36790,17.916667,0.018625,1.412222,0.3991775
36791,18.25,0.021167,3.1583335,0.3000905
36794,38.130435,0.020667,4.0375,0.9958335
36795,33.708333,0.023792,3.6916665,0.5041665
36796,39.944444,0.018167,3.3333335,0.822159
36797,35.416667,0.018125,1.4875,0.914583
36798,33.166667,0.016917,1.6520835,0.7604165
36799,26.583333,0.019292,1.5666665,0.929167
36800,21.458333,0.021167,0.36875,0.439583
36801,31.291667,0.013875,0.99375,0.6479165
36802,32.083333,0.013958,1.2375,0.79375
36803,29.894737,0.012,1.09,0.60928
36804,30.708333,0.016292,2.5655845,0.9708335
36805,42.347826,0.015917,3.5270835,1.1104165
36806,35,0.020917,2.9925465,1.3512685
36807,12.166667,0.024792,0.1645835,0.1083335
36808,14.041667,0.025417,0.11875,0.0625
36809,17.041667,0.018,0.4145835,0.1708335
36810,18.590909,0.0225,0.42875,0.212171
36811,35.75,0.015458,1.5833335,0.9468295
36812,44,0.014292,3.035404,1.633333
36813,42.791667,0.01875,3.85625,1.7916665
36814,39.25,0.021583,3.60625,1.8979165
36815,41.958333,0.019,3.2770835,1.5875
36816,42.333333,0.01625,4.4875,1.6104165
36817,35.75,0.015625,2.6538965,1.0645835
36818,33.695652,0.007583,0.992857,0.7738225
36819,30.291667,0.014542,2.36875,1.1645835
36820,22.791667,0.018458,1.4479165,1.0791665
36821,14.958333,0.023417,0.125,0.36875
36822,26.666667,0.015167,0.5333335,0.51875
